36332,536
36915,
37546,545
38161,549
,552
39432,556
40098,564
40786,572
41736,578
42766,580
43484,587
44364,600
45442,612
10423,634
46453,634
47515,645
48570,659
48570,659
49665,674
50591,698
51460,722
51460,722
52550,722
52550,739
53533,739
53533,756
54770,773
55902,793
56872,808
57680,819
60000,859
58725,859
59773,879
60740,900
61769,917
62593,942
63244,962
64264,981
64979,1007
64979,1007
65818,1027
66686,1046
67358,1081
67999,1100
68664,1125
69114,1140
69651,1165
70212,1185
70728,1195
71241,1217
71820,1236
72340,1249
72729,1264
73115,1283
73518,1300
73918,1316
74262,1328
74692,1337
75084,1349
75521,1360
